Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
HP Victus 15 FB1013NN 16GB Gaming Laptop,"රු227,000.00",16GB DDR5-4800 SDRAM (2X 8 GB) Up to 64GB,Genuine Windows 11,"AMD Ryzen™ 5 7535HS (up to 4.5 GHz max boost clock, 16 MB L3 cache, 6 cores, 12 threads)",512 GB PCIe® NVMe™ TLC M.2 SSD (4×4 SSD),512 GB PCIe® NVMe™ TLC M.2 SSD (4×4 SSD)
HP Victus Gaming 15-FA1093DX 13th Gen,"රු257,000.00",8 GB DDR4-3200 SDRAM (1 X 8 GB),N/A,"Intel® Core™ i5-13420H (up to 4.7 GHz, 12MB L3 cache, 12 cores, 12 threads)",512 GB PCIe® NVMe™ TLC M.2 SSD (4×4 SSD),512 GB PCIe® NVMe™ TLC M.2 SSD (4×4 SSD)
Lenovo IdeaPad 3 Slim 13th Gen Laptop,"රු148,000.00","8 GB, 1 x 8 GB, DDR4, 3200MHz Memory",13th Generation Intel® Core™ i3-1305U Processor (E-cores up to 4.50 GHz P-cores up to 4.40 GHz) 10MB L3,13th Generation Intel® Core™ i3-1305U Processor (E-cores up to 4.50 GHz P-cores up to 4.40 GHz) 10MB L3,"512 GB, M.2, PCIe NVMe, SSD","512 GB, M.2, PCIe NVMe, SSD"
Lenovo LOQ 15IRI8 Gaming Laptop 13th Gen,"රු279,000.00",8 GB DDR5-5200SDRAM (1 X 8 GB),Genuine Windows 11,"Intel® Core™ i5-13420H (up to 4.7 GHz, 12MB L3 cache, 12 cores, 12 threads)",1TBGB PCIe® NVMe™ TLC M.2 SSD (4×4 SSD),1TBGB PCIe® NVMe™ TLC M.2 SSD (4×4 SSD)
Lenovo V15 G3 Core i5 Business Laptop,"රු159,000.00","8 GB, 1 x 8 GB, DDR4, 3200MHz Memory",N/A,"Intel® Core™ i5-1235u Processor 2.4 GHz (12M Cache, up to 4.4 GHz, 10 cores)","512 GB, M.2, PCIe NVMe, SSD","512 GB, M.2, PCIe NVMe, SSD"
Lenovo V15 G4  Core i3 13TH Gen Laptop,"රු134,000.00",8GB DDR4-3200MHz RAM (1 x 8 GB),13th Generation Intel® Core™ i3-1305U Processor (E-cores up to 4.50 GHz P-cores up to 4.40 GHz) 10MB L3,13th Generation Intel® Core™ i3-1305U Processor (E-cores up to 4.50 GHz P-cores up to 4.40 GHz) 10MB L3,512GB PCIE NVME SSD,512GB PCIE NVME SSD
Lenovo V15 G4  Core i5 13TH Gen Laptop,"රු170,000.00",8GB DDR4-3200MHz RAM (1 x 8 GB),N/A,"Intel® Core™ i5-1335U Processor 2.6 GHz (12MB Cache, up to 4.6 GHz, 10 cores, 12 Threads)",512GB PCIE NVME SSD,512GB PCIE NVME SSD
MSI MODERN 15-B7M RYZEN 7 Laptop,"රු183,500.00",8GB DDR4 3200MHZ,512GB NVME M.2 SSD ( 1x M.2 SSD slot (NVMe PCIe Gen4),"AMD Ryzen 7 7730U (8Core, 16 Threads- Up to 4.5GHz) Processor. 16MB L3 Cache",512GB NVME M.2 SSD ( 1x M.2 SSD slot (NVMe PCIe Gen4),512GB NVME M.2 SSD ( 1x M.2 SSD slot (NVMe PCIe Gen4)
HP 15S – DY5131WM 12th Gen I3,"රු133,000.00",8 GB DDR4-2666 MHz RAM (2 x 4 GB),N/A,"Intel® Core™ i3-1215U up to 4.4 GHz 10MB L3 cache, 6 cores, 8 threads",256GB PCIE NVME SSD,256GB PCIE NVME SSD
HP 15s – FQ5026 Core I5 12TH Gen Laptop,"රු178,000.00",8GB DDR4-2666 MHz RAM (2 x 4 GB),N/A,"Intel® Core™ i5-1235U (up to 4.4 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)",512GB PCIE NVME SSD,512GB PCIE NVME SSD
New HP 15s – FD206TU I5 13TH GEN,"රු187,000.00",8 GB DDR4-2666 MHz RAM (1 x 8 GB),Genuine Windows 11,"Intel® Core™ i5-1335U Processor 1.3 GHz (12MB Cache, up to 4.6 GHz, 10 cores, 12 Threads)",512GB PCIE NVME SSD,512GB PCIE NVME SSD
