Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
Dell 5525 G15 Gaming – Ryzen 5,"රු425,000.00",– 8GB DDR5 4800MHz RAM,N/A,– AMD Ryzen 5 – 6600H Processor,"– 512GB, M.2, PCIe SSD",N/A
HP EliteBook 640 G9 Notebook – i5,"රු455,000.00",– 8GB DDR4 RAM,N/A,– Intel Core i5 – 1235U Processor,– 512GB PCIe NVMe SSD,– 512GB PCIe NVMe SSD
HP ProBook 450 G8 – i5,"රු320,000.00",– 8GB DDR4 RAM,N/A,– Intel Core i5 – 1135G7 Processor,– 512GB SSD Hard Drive,N/A
Dell Latitude 7430 – i5,"රු520,000.00",– 8GB DDR4 3200MHz RAM,N/A,– Intel Core i5-1235U Processor,– 512GB NVMe SSD,– 512GB NVMe SSD
Dell Inspiron 3511 (i5 with Iris-Xe Graphics),"රු279,000.00",– 8GB DDR4 RAM,N/A,– Intel Core i5-1135G7 Processor,– 512GB NVMe SSD,– 512GB NVMe SSD
MSI Cyborg 15 A12VF Gaming – i7,"රු399,000.00",– 8GB DDR5 4800MHZ RAM,– 512GB M.2 NVME Gen4 SSD,– Intel Core i7 – 12650H Processor,– 512GB M.2 NVME Gen4 SSD,– 512GB M.2 NVME Gen4 SSD
Intel 12Gen Core i5 12400 Processor,"රු53,000.00",N/A,– Processor Generation 12th Generation,– Processor Model Intel i5-12400,N/A,N/A
Asus ExpertBook B1502CB – i5 (16GB RAM),"රු172,000.00",– 16GB DDR4 2800MHz RAM,N/A,– Intel Core i5-1235U Processor,– 512GB NVME M.2 SSD,– 512GB NVME M.2 SSD
Asus ExpertBook B1502CB – i5 (8GB RAM),"රු165,000.00",– 8GB DDR4 2800MHz RAM,N/A,– Intel Core i5-1235U Processor,– 512GB NVME M.2 SSD,– 512GB NVME M.2 SSD
HP 15 fd0203TU – i3,"රු179,000.00",– 8GB DDR4-3200 MHz RAM,N/A,– Intel Core i3 – 1315U Processor,– 512GB PCIe NVMe SSD,– 512GB PCIe NVMe SSD
