Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
ASUS Vivobook 16X F1605VA i5-13500H|8GB|512GB|16.0 WUXGA,"Rs. 229,000.00",8GB DDR4 on board,"Intel® Core™ i5-13500H Processor 2.6 GHz '18MB Cache, up to 4.7 GHz, 12 cores, 16 Threads'","Intel® Core™ i5-13500H Processor 2.6 GHz '18MB Cache, up to 4.7 GHz, 12 cores, 16 Threads'",512GB M.2 NVMe™ PCIe® 3.0 SSD,512GB M.2 NVMe™ PCIe® 3.0 SSD
MSI Thin 15 B12UCX i7-12650H|16GB|512GB|RTX2050|144hz,"Rs. 303,000.00","16GB '8GB x 2'DDR4-3200 2 slots, up to 64GB",12th Gen Intel® Core i7-12650H Processor,12th Gen Intel® Core i7-12650H Processor,512GB NVMe M.2 SSD by PCIe Gen4 x4,512GB NVMe M.2 SSD by PCIe Gen4 x4
Dell Vostro 3530 i5- 1335U|8GB|512GB|DOS,"Rs. 245,000.00",8GB 8Gx1 DDR4 2666MHz,"13th Generation Intel Core i5- 1335U '12 MB cache, 10 cores, 12 threads, up to 4.60 GHz'","13th Generation Intel Core i5- 1335U '12 MB cache, 10 cores, 12 threads, up to 4.60 GHz'",512GB M.2 PCIe NVMe Solid Stat e Drive,512GB M.2 PCIe NVMe Solid Stat e Drive
lenovo IdeaPad Slim 3 15IRH8 i5-13420H|8GB|512GB|DOS,"Rs. 199,000.00",8GB Soldered LPDDR5-4800,"Intel® Core™ i5-13420H, 8C '4P + 4E' / 12T, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","Intel® Core™ i5-13420H, 8C '4P + 4E' / 12T, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®
MSI Thin 15 B13UC i7-13620H|16GB|512GB|RTX3050|144hz,"Rs. 345,800.00","16GB '8GB x 2'DDR4-3200 2 slots, up to 64GB","13th Gen Intel® Core™ i7-13620H Processor 24M Cache, up to 4.90 GHz","13th Gen Intel® Core™ i7-13620H Processor 24M Cache, up to 4.90 GHz",512GB NVMe M.2 SSD by PCIe Gen4 x4,512GB NVMe M.2 SSD by PCIe Gen4 x4
DELL INSPIRON 3525 R5 5625U|8GB|512GB|WIN 11,"Rs. 228,850.00",8GB 1x8GB DDR4 3200MHz,AMD Ryzen™ 5 5625U 6-core/12-thread Processor,AMD Ryzen™ 5 5625U 6-core/12-thread Processor,512 GB M.2 PCIe NVMe SSD,512 GB M.2 PCIe NVMe SSD
LENOVO IDEAPAD 5 AMD RYZEN 7 5700U|16GB|512GB|14 FHD IPS,"Rs. 332,350.00",16GB Soldered DDR4-3200,"AMD Ryzen 7 5700U '8C / 16T, 1.8 / 4.3GHz, 4MB L2 / 8MB L3'","AMD Ryzen 7 5700U '8C / 16T, 1.8 / 4.3GHz, 4MB L2 / 8MB L3'",512GB SSD M.2 2242 PCIe 3.0x4 NVMe,512GB SSD M.2 2242 PCIe 3.0x4 NVMe
Lenovo IdeaPad 3 AMD Ryzen 5 5500U|8GB|512GB|15.6 IPS,"Rs. 228,850.00",4GB Soldered DDR4-3200 + 4GB SO-DIMM DDR4-3200,"AMD Ryzen 5 5500U '6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3'","AMD Ryzen 5 5500U '6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3'",512GB SSD M.2 2242 PCIe 3.0x4 NVMe,512GB SSD M.2 2242 PCIe 3.0x4 NVMe
LENOVO IDEAPAD 5 AMD RYZEN 7 5700U|16GB|512GB|15.6,"Rs. 286,350.00",16GB Soldered DDR4-3200,"AMD Ryzen 7 5700U '8C / 16T, 1.8 / 4.3GHz, 4MB L2 / 8MB L3'","AMD Ryzen 7 5700U '8C / 16T, 1.8 / 4.3GHz, 4MB L2 / 8MB L3'",512GB SSD M.2 2242 PCIe 3.0x4 NVMe,512GB SSD M.2 2242 PCIe 3.0x4 NVMe
Lenovo IdeaPad 5 AMD Ryzen 5 5500U|16GB|512GB|15.6,"Rs. 273,700.00",16GB Soldered DDR4-3200,"AMD Ryzen 5 5500U '6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3'","AMD Ryzen 5 5500U '6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3'",512GB SSD M.2 2242 PCIe 3.0x4 NVMe,512GB SSD M.2 2242 PCIe 3.0x4 NVMe
HUAWEI MateBook D15|I5-1135G7|8GB|512GB|Iris Xe,"Rs. 251,850.00",8GB DDR4 3200MHZ,Intel® CoreTM i5-1135G7 Processor 'Base 2.4GHz; Up to 4.2GHz',Intel® CoreTM i5-1135G7 Processor 'Base 2.4GHz; Up to 4.2GHz',512 GB NVMe PCle SSD,512 GB NVMe PCle SSD
